,Element,Count,weightage
137,nosql,2,0.007518796992481203
138,programming,2,0.007518796992481203
139,adwords,2,0.007518796992481203
140,statistical learning,2,0.007518796992481203
141,product management,2,0.007518796992481203
142,excel,2,0.007518796992481203
143,php,2,0.007518796992481203
144,big query,2,0.007518796992481203
145,hbase,2,0.007518796992481203
146,scala,2,0.007518796992481203
147,model development,2,0.007518796992481203
148,information retrieval,2,0.007518796992481203
149,ldatopic modeling,2,0.007518796992481203
150,e-commerce,2,0.007518796992481203
151,algorithm,2,0.007518796992481203
152,time series,2,0.007518796992481203
153,regression analysis,2,0.007518796992481203
154,forecastinf,2,0.007518796992481203
155,ieee,2,0.007518796992481203
156,retail analytics,2,0.007518796992481203
157,intern,2,0.007518796992481203
158,detection,2,0.007518796992481203
159,operations,2,0.007518796992481203
