Element,Count
azure service,1
azure functions,1
azure service bus,1
excel,1
flinkspark streaming,1
agile development,1
olap,1
circleci,1
hexagon spi,1
termination drawings,1
detail engineering,1
cable block diagrams,1
computer vision deep learning,1
python r,1
analysis services,1
arm templates,1
kinesis,1
etl services,1
hdinsight,1
pheonix,1
ssas,1
azure adf,1
cloud native,1
restful apis,1
restful api,1
eg,1
sas,1
smc,1
azure storage explorer,1
ansible,1
puppet,1
gcp data proc,1
aws kinesis,1
data engineers sql,1
bash script,1
azure blob,1
snowflake matillion,1
visual analytics,1
sap hana,1
ci cd,1
sql data warehouse,1
event grid,1
release management,1
diversity and inclusion,1
advanced analytics,1
kudu,1
